CustomerId,prediction
1239,0.0
1242,1.0
1243,0.0
1249,1.0
1256,0.0
1274,1.0
1276,0.0
1277,0.0
1280,0.0
1283,1.0
1284,0.0
1289,1.0
1290,0.0
1300,1.0
1306,0.0
1310,1.0
1314,1.0
1315,1.0
1323,1.0
1326,1.0
1335,1.0
1340,0.0
1365,1.0
1374,1.0
1381,1.0
1385,1.0
1387,0.0
1388,1.0
1395,0.0
1397,1.0
1399,1.0
1412,1.0
1421,0.0
1425,1.0
1429,1.0
1437,1.0
1442,1.0
1445,0.0
1448,0.0
1452,1.0
1459,1.0
1473,0.0
1482,1.0
1492,0.0
1493,0.0
1495,0.0
1497,1.0
1505,1.0
1506,0.0
1508,1.0
1514,0.0
1521,0.0
1526,0.0
1539,0.0
1541,0.0
1549,0.0
1550,1.0
1558,1.0
1565,0.0
1566,0.0
1570,0.0
1573,0.0
1582,1.0
1584,1.0
1592,0.0
1593,0.0
1594,1.0
1599,0.0
1606,1.0
1608,1.0
1615,0.0
1626,0.0
1627,0.0
1632,1.0
1633,1.0
1635,1.0
1638,1.0
1644,1.0
1657,0.0
1662,0.0
1664,0.0
1667,1.0
1673,0.0
1677,0.0
1680,0.0
1682,1.0
1687,0.0
1689,1.0
1698,1.0
1710,1.0
1711,0.0
1719,1.0
1721,1.0
1727,0.0
1730,1.0
1734,1.0
1738,1.0
1744,0.0
1746,0.0
1749,1.0
1753,1.0
1755,1.0
1766,1.0
1770,1.0
1774,1.0
1780,0.0
1791,1.0
1795,0.0
1799,1.0
1807,0.0
1809,1.0
1829,1.0
1830,1.0
1839,1.0
1843,1.0
1844,0.0
1846,0.0
1852,1.0
1856,0.0
1863,0.0
1865,1.0
1869,0.0
1875,0.0
1880,0.0
1893,1.0
1894,0.0
1902,1.0
1912,0.0
1913,0.0
1918,0.0
1925,0.0
1939,0.0
1946,1.0
1947,1.0
1950,1.0
1952,0.0
1953,1.0
1956,0.0
1962,0.0
1967,0.0
1969,0.0
1973,1.0
1975,0.0
1976,1.0
1978,1.0
1986,1.0
1996,0.0
2000,0.0
2003,0.0
2005,0.0
2008,1.0
2009,0.0
2015,1.0
2017,1.0
2019,0.0
2026,1.0
2039,1.0
2045,0.0
2050,1.0
2051,0.0
2062,0.0
2063,0.0
2071,0.0
2072,0.0
2076,1.0
2077,0.0
2079,1.0
2085,1.0
2087,0.0
2092,0.0
2096,0.0
2097,1.0
2100,0.0
2122,1.0
2129,1.0
2133,0.0
2138,1.0
2144,0.0
2148,0.0
2152,1.0
2164,1.0
2176,1.0
2185,1.0
2186,1.0
2188,0.0
2190,0.0
2197,0.0
2200,0.0
2203,0.0
2206,1.0
2207,0.0
2209,0.0
2210,1.0
2215,0.0
2224,0.0
2231,0.0
2237,0.0
2240,0.0
2242,1.0
2246,0.0
2261,1.0
2263,0.0
2266,1.0
2277,0.0
2282,1.0
2284,0.0
2285,1.0
2294,1.0
2296,1.0
2314,1.0
2319,0.0
2320,1.0
2331,0.0
2332,0.0
2333,1.0
2336,0.0
2338,1.0
2342,1.0
2343,1.0
2346,0.0
2348,0.0
2350,1.0
2353,0.0
2356,0.0
2360,0.0
2362,1.0
2367,1.0
2370,1.0
2371,0.0
2373,1.0
2394,1.0
2396,0.0
2398,0.0
2402,1.0
2405,0.0
2410,1.0
2414,1.0
2417,0.0
2419,1.0
2422,1.0
2425,0.0
2427,0.0
2439,0.0
2443,1.0
2449,1.0
2451,1.0
2457,0.0
2459,0.0
2463,0.0
2469,0.0
2475,1.0
2478,1.0
2495,1.0
2497,1.0
2507,1.0
2509,1.0
2513,0.0
2521,0.0
2524,0.0
2547,1.0
2552,0.0
2559,1.0
2565,0.0
2570,0.0
2574,1.0
2578,1.0
2580,1.0
2582,1.0
2585,0.0
2587,1.0
2588,1.0
2589,1.0
2602,0.0
2615,1.0
2624,0.0
2631,1.0
2640,0.0
2661,1.0
2662,0.0
2664,1.0
2673,1.0
2676,0.0
2677,0.0
2678,0.0
2686,0.0
2688,0.0
2690,0.0
2700,0.0
2702,1.0
2707,0.0
2710,0.0
2711,0.0
2721,0.0
2722,1.0
2727,0.0
2734,0.0
2736,0.0
2746,1.0
2749,1.0
2751,0.0
2756,0.0
2758,0.0
2762,0.0
2765,0.0
2769,0.0
2773,1.0
2776,0.0
2781,1.0
2782,1.0
2783,0.0
2792,0.0
2797,1.0
2810,0.0
2814,0.0
2815,0.0
2821,0.0
2827,0.0
2829,1.0
2833,0.0
2839,0.0
2840,0.0
2843,1.0
2844,0.0
2852,1.0
2856,0.0
2861,1.0
2864,1.0
2875,0.0
2879,0.0
2880,0.0
2882,0.0
2888,0.0
2890,1.0
2902,1.0
2905,0.0
2906,0.0
2909,0.0
2913,1.0
2916,0.0
2928,1.0
2935,0.0
2938,0.0
2939,1.0
2940,1.0
2944,0.0
2963,0.0
2966,1.0
2973,1.0
2978,1.0
2979,1.0
2985,1.0
2990,0.0
2991,1.0
3001,0.0
3008,1.0
3013,0.0
3018,1.0
3029,1.0
3032,0.0
3035,0.0
3036,0.0
3037,0.0
3054,0.0
3058,0.0
3062,1.0
3075,1.0
3076,1.0
3079,1.0
3082,1.0
3083,0.0
3086,0.0
3092,0.0
3093,0.0
3094,1.0
3099,0.0
3100,1.0
3116,0.0
3123,1.0
3133,1.0
3139,0.0
3142,0.0
3151,0.0
3154,1.0
3156,0.0
3159,0.0
3163,1.0
3165,1.0
3167,1.0
3179,0.0
3181,0.0
3193,1.0
3195,0.0
3201,1.0
3216,0.0
3232,0.0
3237,0.0
3238,1.0
3249,0.0
3252,0.0
3263,0.0
3264,1.0
3267,1.0
3271,0.0
3279,0.0
3282,1.0
3284,0.0
3287,0.0
3303,1.0
3306,1.0
3314,1.0
3317,1.0
3323,1.0
3335,1.0
3366,0.0
3377,1.0
3381,0.0
3384,0.0
3386,1.0
3388,1.0
3391,0.0
3399,1.0
3404,0.0
3410,1.0
3413,1.0
3420,0.0
3428,0.0
3430,0.0
3431,1.0
3433,1.0
3462,1.0
3469,0.0
3472,0.0
3476,0.0
3481,1.0
3488,1.0
3497,1.0
3504,0.0
3523,0.0
3526,1.0
3532,0.0
3545,0.0
3546,1.0
3551,0.0
3563,1.0
3565,1.0
3572,0.0
3576,0.0
3577,0.0
3578,1.0
3579,0.0
3580,0.0
3583,0.0
3596,1.0
3606,1.0
3618,1.0
3622,1.0
3624,0.0
3625,1.0
3631,1.0
3633,0.0
3640,1.0
3642,1.0
3644,1.0
3657,1.0
3658,1.0
3660,0.0
